CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
00.029-9,24/01/1961,CARTÓRIO DO 2º OFÍCIO DE NOTAS,Oficializada,Notas,Ativo,PROVIDO,28/01/2011,MG,MIRADOURO,cartorio2oficiomg@yahoo.com,2024-07-16,MARIA DAS GRAÇAS DE AZEVEDO CUNHA,-
00.033-1,05/09/1930,CARTÓRIO SANTOS LIMA,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,18/03/2016,PB,AROEIRAS,cartoriosantoslima@hotmail.com,2024-08-01,SELMA SANTOS DE LIMA,-
00.035-6,21/02/1962,Cartorio do Registro Civil e Notas de Catuji,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,01/04/2013,MG,CATUJI,cartoriocatuji@gmail.com,2024-07-15,JOÃO PEREIRA DE ALMEIDA FILHO,-
00.036-4,04/10/1890,REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DE RECREIO,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,04/06/2024,MG,RECREIO,cartoriorecreio@yahoo.com.br,2024-07-11,SONIA APARECIDA POSSOLINI MANCO DE TOLEDO,VANESSA NASCIMENTO DA SILVA
00.037-2,14/07/1916,CARTÓRIO SCALIONI,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,MONSENHOR PAULO,cartorioscalioni@hotmail.com,2007-08-02,ADRIANO SCALIONI DOS SANTOS,-
00.042-2,15/05/1957,CARTÓRIO DE REGISTRO E NOTAS DE SENHORA DA PENHA,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,11/05/2012,MG,FERNANDES TOURINHO,cartorioalvesantos@hotmail.com,2024-07-17,ANA PAULA DOS SANTOS SILVA,-
00.044-8,19/11/1964,Serventia Extrajudicial do Ofício Único de São José do Piauí-PI,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,04/09/2019,PI,SAO JOSE DO PIAUI,cartorio.unico.saojose@gmail.com,2019-09-04,MORGANHA PEREIRA DA SILVA LUZ,-
00.046-3,29/12/1962,10º TABELIONATO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,17/04/2023,PR,CURITIBA,otavioarauen@gmail.com,2024-07-24,OTAVIO AUGUSTO DE ALBUQUERQUE RAUEN,ANDREA VIANNA BRAZ
00.050-5,16/05/1994,REGISTRO CIVIL DAS PESSOAS NATURAIS,Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,TO,FORTALEZA DO TABOCAO,cartoriocivil-tabocao@hotmail.com,2024-07-18,MARINALVA ALVES DE CASTRO E SILVA,MARLENE COELHO CARDOSO DA SILVA
00.054-7,14/04/1894,Cartório Torres - 1° Ofício de Notas de Abaeté/MG,Privatizada,Notas,Ativo,PROVIDO,04/04/2019,MG,ABAETÉ,cartoriotorres.abaete@gmail.com,2024-07-16,FELIPE DE MENEZES TORRES,-
00.056-2,29/12/1955,2º Tabelionato de Notas e Protesto de Títulos de Mateus Leme,Oficializada,Notas / Protesto de Títulos,Ativo,VAGO,08/05/2025,MG,MATEUS LEME,2notaseprotestoml@gmail.com,2025-05-07,SAULLO NASCIMENTO CUNHA,THAIRIANI GRACIELLI ALMEIDA FONSECA NOGUEIRA
00.057-0,16/04/1978,Ofício do Registro Civil e Tabelionato de Notas de São Domingos,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,12/07/2010,MG,SANTO ANTONIO DO AVENTUREIRO,cartoriodesaodomingos@hotmail.com,2024-07-09,SOLANGE DE CÁSSIA GOMES NUNES,-
00.058-8,07/12/1912,OFÍCIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS DE PAPAGAIOS/MG,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,01/06/2021,MG,PAPAGAIOS,contato@cartoriopapagaios.com.br,2024-01-30,MANOELA AUGUSTA DE ARAUJO CABRAL BOUERI,-
00.059-6,02/12/1912,Ofício do Registro Civil e Tabelionato de Notas de Taparuba,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,27/08/2010,MG,TAPARUBA,cartoriotaparubamg@gmail.com,2024-01-11,FERNANDO ANTONIO TEODORO ALVES,-
00.060-4,15/04/1966,Ofício do Registro Civil e Tabelionato de Notas de Perdilândia,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,12/04/2024,MG,SANTA VITORIA,registrocivildesantavitoria@hotmail.com,2024-07-15,KARINA BRAGA LUCIANO,WALLINGTON SILVA BORGES
00.064-6,05/08/1905,Serviço Distrital de Piên,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,19/03/2023,PR,PIEN,cartoriopien@gmail.com,2024-07-12,ERLANDERSON DE OLIVEIRA TEIXEIRA,-
00.066-1,31/10/1965,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,MANDAGUACU,crimandaguacu@hotmail.com,1988-09-14,ANGELINA SILVEIRA DERCI,-
00.068-7,06/06/1892,Serviço de Registro Civil das Pessoas Naturais,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,17/07/2023,PR,SAO JOSE DOS PINHAIS,registrocivilsaojosedospinhais@gmail.com,2024-07-14,THAIZ SINGER CORREIA DA SILVA KÜHN,-
00.070-3,30/04/1903,SERVIÇO NOTARIAL E REGISTRAL DE LUÍS GOMES,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,29/08/2014,RN,LUIS GOMES,marciarochajp@hotmail.com,2024-07-25,MÁRCIA MAYSA MAIA ROCHA,GILMARA PAIVA NUNES
00.071-1,04/08/1933,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE CATINGUEIRA,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,18/03/2016,PB,CATINGUEIRA,cart.registrocncatingueira@gmail.com,2024-07-16,AGENOR PEREIRA DE ALENCAR,TEREZINHA DE OLIVEIRA TRINDADE PEREIRA E ALENCAR
00.076-0,16/11/2010,1º Tabelionato de Notas e 1º Ofício do Registro Civil das Pessoas Naturais e Postos Avançados da Comarca de Rio Branco,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,AC,RIO BRANCO,1tabelionato.riobranco@gmail.com,2024-03-21,FABRíCIO MENDES DOS SANTOS,CLAUDIA TAYANE DA SILVA FERREIRA FERNANDES
00.077-8,05/11/2013,2º Ofício de Registro de Imóveis da Comarca de Rio Branco/AC,Privatizada,Registro de Imóveis,Ativo,CONVERSÃO EM DILIGÊNCIA,04/02/2025,AC,RIO BRANCO,cartorio@segundori.com.br,2025-02-03,ANA PAULA GAVIOLI BITTENCOURT,FELIPE MARTINI BELCHIOR
00.079-4,24/08/1981,3º Tabelionato de Notas e 3º Ofício do Registro Civil das Pessoas Naturais da Comarca de Rio Branco,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,02/04/2025,AC,RIO BRANCO,terceirocartorio.ac.rb@gmail.com,2025-02-03,DANILO BEZERRA DE CASTRO,-
00.084-4,28/01/1992,ÚNICO OFÍCIO DE MARECHAL THAUMATURGO -,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,24/06/2025,AC,MARECHAL THAUMATURGO,unicooficiomarechal@hotmail.com,2025-02-12,VICTOR MATHEUS DIAS MANACAS,-
00.085-1,29/09/2010,1º Ofício do Registro de Imóveis da Comarca de Rio Branco,Privatizada,Registro de Imóveis,Ativo,PROVIDO,28/09/2016,AC,RIO BRANCO,CRIRIOBRANCO@GMAIL.COM,2024-07-15,FABIANA FARO DE SOUZA CAMPOS TEIXEIRA,-
00.091-9,28/01/1992,Cartório Porto Walter,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,02/04/2025,AC,PORTO WALTER,cartoriopwalter@gmail.com,2025-02-01,AGATHA KRIS DOS SANTOS STORARI,MARICELO RODRIGUES LIMA JUNIOR
00.098-4,16/01/1996,Tabelionato de Notas e Ofício do Registro Civil das Pessoas Naturais de SANTA ROSA DO PURUS,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,18/08/2023,AC,SANTA ROSA DO PURUS,erimar.costa@tjac.jus.br,2024-07-10,ERIMAR SILVA DA COSTA,VERONICA MARQUES DE CARVALHO
00.099-2,17/01/1996,Cartório Extrajudicial de Jordão - AC,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,20/03/2025,AC,JORDAO,cartorio.jordao.acre@gmail.om,2025-02-03,MATHEUS FENNER BOHN,-
00.105-7,24/11/1944,Serventia Extrajudicial da Comarca de Manoel Urbano,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/09/2016,AC,MANOEL URBANO,cartoriomanoelurbano@gmail.com,2024-04-14,DIRCE YUKARI SUGUI AZEVEDO DA SILVEIRA,-
00.122-2,12/09/1904,"Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas da comarca de Cruzeiro do Sul",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,01/04/2025,AC,CRUZEIRO DO SUL,atendimentoauxiliares@gmail.com,2025-02-03,HENRIQUE DE OLIVEIRA RASSLAN,-
00.131-3,29/01/1906,Ofício do Registro de Títulos e Documentos e das Pessoas Jurídicas da Comarca de Rio Branco,Privatizada,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,20/02/2025,AC,RIO BRANCO,rtd.riobranco@gmail.com,2025-02-20,UENDEL ROGER GALVÃO MONTEIRO,-
00.144-6,21/12/1938,SERVENTIAS EXTRAJUDICIAIS DA COMARCA DE FEIJÓ,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,25/07/2016,AC,FEIJO,cartoriofeijo@gmail.com,2024-07-15,SILVANO DECARLI,-
00.155-2,24/04/1996,Cartório Juruá,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,01/12/2011,AC,CRUZEIRO DO SUL,registrocivilczs@gmail.com,2024-07-04,CLEBER CORREA,-
00.166-9,12/09/1904,Tabelionato de Protesto de Titulos e Documentos da Comarca de CRUZEIRO DO SUL,Privatizada,Protesto de Títulos,Ativo,VAGO,12/08/2025,AC,CRUZEIRO DO SUL,protestocs@hotmail.com,-,KADIEL CAVALCANTE MARTINS,-
00.172-7,13/03/1868,"1º OFÍCIO DE REGISTRO DE IMÓVEIS, TABELIONATO DE NOTAS E PROTESTO, EVERSON LORENZINI",Oficializada,Notas / Protesto de Títulos / Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,PAO DE ACUCAR,cartoriolorenzini@gmail.com,2025-01-13,EVERSON TORRES LORENZINI,-
00.173-5,24/09/1864,1º CARTORIO DE REGISTRO DE IMOVEIS E HIPOTECAS DE MACEIÓ,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2012,AL,MACEIO,1rimaceio@1rimaceio.com.br,1978-02-01,STELIO DARCI CERQUEIRA DE ALBUQUERQUE,ANDRé TOLEDO DE ALBUQUERQUE
00.174-3,08/01/1922,Cartório do 1º Ofício de Notas e Registros de Imóveis da Comarca de Maragogi,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,01/03/2025,AL,MARAGOGI,cartorio1oficiomaragogial@gmail.com,2025-02-11,VANESSA MENEZES DUARTE,ADRIANA FELIPE DA SILVA
00.175-0,07/05/1925,Serviço Notarial e Registral,Privatizada,Notas / Registro de Imóveis,Ativo,PROVIDO,12/07/2010,AL,SAO MIGUEL DOS CAMPOS,jackson.1oficiosmc@gmail.com,1988-08-04,JACKSON IVAN PAULA TORRES,ETIONE MARIA ANACLETO TORRES
00.176-8,13/05/1861,1º SERVIÇO NOTARIAL E REGISTRAL DE CORURIPE,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,07/02/2025,AL,CORURIPE,cartoriocoruripe@gmail.com,2025-02-03,MILENA GUERREIRO,-
00.177-6,25/06/1928,1º TABELIONATO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,31/01/2025,AL,PALMEIRA DOS INDIOS,tabnotas1pdi@outlook.com,2025-01-29,LEONELA OTILIA SAUTER SOARES,-
00.178-4,26/04/1866,1º TABELIONATO DE NOTAS REGISTRO DE IMOVEIS E PROTESTO DE TITULOS,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,UNIAO DOS PALMARES,cartorio1oficiouniaopalmares@gmail.com,2025-01-28,ANA LUÍSA TEODORO GARIBALDI,ANA PAULA DA SILVA SOUZA
00.179-2,06/07/1984,"2 CARTORIO DE TITULOS E DOCUMENTOS,  PESSOA JURÍDICA E NOTAS DE MACEIÓ",Privatizada,Notas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/03/2023,AL,MACEIO,rainey@2rtd-al.com.br,1988-10-31,RAINEY BARBOSA ALVES MARINHO,VITOR DE LIMA SARMENTO
00.180-0,28/07/1998,2 OFICIO DE NOTAS E PROTESTOS DE MURICI-ALAGOAS,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,31/01/2025,AL,MURICI,cartorionpmurici@gmail.com,2025-01-13,FRANCISCO JOSÉ DE SOUZA,MARCOS ANTôNIO DE OLIVEIRA SILVA
00.181-8,16/11/1936,2ª SERVIÇO NOTARIAL E REGISTRAL DO MUNICIPIO E COMARCA DE PÃO DE AÇÚCAR,Privatizada,Notas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,14/03/2025,AL,PAO DE ACUCAR,eversonlorenzini01@gmail.com,2025-02-25,EVERSON TORRES LORENZINI,-
00.182-6,17/03/1977,2º Tabelionato de Protesto de Títulos e Letras de Maceió,Privatizada,Protesto de Títulos,Ativo,PROVIDO,31/01/2025,AL,MACEIO,cartoriodeprotesto2oficiomcz@outlook.com,2025-01-28,MARIANI RODRIGUES DE SOUZA,CLARICE PEREIRA BEZERRA DE ABREU
00.183-4,30/08/1929,2º Of. de Notas e Registro de Títulos e Documentos,Oficializada,Notas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,28/07/2025,AL,UNIAO DOS PALMARES,cartorio2oficioup@gmail.com,2025-07-25,ANA LUÍSA TEODORO GARIBALDI,-
00.184-2,02/08/1943,2º Oficio de Notas e Protesto,Oficializada,Notas / Protesto de Títulos,Ativo,PROVIDO,20/03/2025,AL,SANTANA DO IPANEMA,2oficio.santanadoipanema@gmail.com,2025-03-01,LEIDIANE ANTÔNIA GUIMARÃES,-
00.185-9,11/08/1960,2º Cartório Notarial e Protesto de Letras e Títulos de Capela/AL,Oficializada,Notas / Protesto de Títulos,Ativo,VAGO,06/08/2025,AL,CAPELA,notaseprotesto.capela@outlook.com,2025-08-01,LUIZ HENRIQUE SANTOS DA CRUZ,-
00.186-7,02/10/1871,2º Cartório Notarial e Registral de Palmeira dos Índios-AL,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,24/02/2025,AL,PALMEIRA DOS INDIOS,cartorionotarialeregistral@gmail.com,2025-02-20,GEORGE LUCAS PESSOA DA CÂMARA COSTA,-
00.187-5,06/07/1984,2º Tabelionato de Notas e Protestos,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,12/03/2023,AL,RIO LARGO,cartorio2.rl@hotmail.com,1988-10-25,MARIA OFÉLIA SILVA CAVALCANTI RODRIGUES,RODOLFO PHILIPPE CAVALCANTI RODRIGUES
00.188-3,11/10/1888,Registro Civil e Notas de Água Branca,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,28/02/2025,AL,ÁGUA BRANCA,2oficioaguabranca@gmail.com,2025-02-26,JULIANA SAYURI IKEDA DE OLIVEIRA,GREICIELE SIQUEIRA RODRIGUES
00.189-1,06/07/1984,3 Registro de Imóveis e  Distribuição de Títulos para Protesto de Maceio,Privatizada,Registro de Distribuição / Registro de Imóveis,Ativo,PROVIDO,12/03/2023,AL,MACEIO,stda@uol.com.br,1990-08-03,SERGIO TOLEDO DE ALBUQUERQUE,LARA CANSANçãO DE ALBUQUERQUE AYRES
00.190-9,11/08/1960,3º SERVIÇO NOTARIAL,Privatizada,Notas,Ativo,PROVIDO,28/02/2025,AL,PALMEIRA DOS INDIOS,cartoriodaspalmeiras@gmail.com,2025-02-27,FELLIPE DIAS TORRES,-
00.191-7,18/06/1919,1º REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E 4º TABELIONATO DE NOTAS,Privatizada,Notas / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,02/06/2025,AL,MACEIO,atendimento@cartoriomaceio.com,2025-03-26,YASMINE COELHO KUNRATH,LUCYMARA ALVES CERQUEIRA
00.192-5,25/11/1969,ALAGOAS 2º CARTÓRIO DO REGISTRO GERAL DE IMÓVEIS E HIPOTECAS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,31/01/2025,AL,MACEIO,segundocartorio.imoveismcz@hotmail.com,2025-02-01,ARTHUR BRIZZI,-
00.193-3,11/01/1956,ALAGOAS CART. 2º OF. DE NOTAS,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,03/02/2025,AL,ARAPIRACA,cartorio2oficionotasarapiraca@gmail.com,2025-01-28,CARLOS ROBERTO ALVES DOS SANTOS,-
00.194-1,10/05/1960,ALAGOAS CARTORIO 1 OFICIO DE PROTESTOS E NOTAS,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,12/07/2010,AL,MACEIO,mpmlfarias@hotmail.com,1977-03-14,CELSO SARMENTO PONTES DE MIRANDA,MARIANA PONTES DE MIRANDA LOPES DE FARIAS
00.195-8,01/01/1921,Alagoas Cartório 1º ofício Reg. de Imóv. Títulos,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,14/07/2025,AL,CAPELA,cartoriocapela@gmail.com,2025-07-01,LIDIJANE LEMOS ARAúJO,-
00.196-6,15/07/1961,6º Oficio de Notas de Maceió AL,Privatizada,Notas,Ativo,PROVIDO,31/01/2025,AL,MACEIO,alagoascartorio@outlook.com,2025-02-04,THIAGO MORRA COSTA CARREIRO,NADIR DE OLIVEIRA MOURA
00.197-4,11/08/1960,"Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas, Tabelionato de Notas e Protesto de Títulos de Matriz de Camaragibe/AL",Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,MATRIZ DE CAMARAGIBE,cartoriodematrizdecamaragibe@gmail.com,2025-01-28,MARIANA PIAZENTIN MARTINELLI POPPI,DENNIS LANCASTER SILVA
00.198-2,10/07/1853,"CARTORIO DE 1º OFICIO DE IMÓVEIS, HIPOTECA E NOTAS",Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,RIO LARGO,cartorio1oficiodeimoveisrl@gmail.com,2025-01-28,RENAN RIBEIRO VIEIRA,INGRID MYCKAELLE DOS SANTOS PINTO
00.199-0,13/07/1840,2º Oficio de Notas de Maceió,Privatizada,Notas,Ativo,PROVIDO,31/01/2025,AL,MACEIO,segundoservicodenotas@hotmail.com,2025-01-28,RAFAEL PROTASIO ARAUJO DA COSTA,MÁRCIA DENISE DE ARAUJO PROTÁSIO LOPES
00.200-6,30/04/1872,CARTORIO 3 OFICIO DE NOTAS DE MACEIO,Privatizada,Notas,Ativo,PROVIDO,13/03/2025,AL,MACEIO,cartorio.3oficio.notas@gmail.com,2025-02-28,BRUNO FELIPE ARRUDA DE ALBUQUERQUE,-
00.201-4,30/10/1924,ALAGOAS SERVIÇOS DO 1º OFICIO REGISTRO DE IMOVEIS,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,AL,ARAPIRACA,cartorio1oara_al@hotmail.com,1988-06-18,CYRA RIBEIRO,CíCERO TADEU RIBEIRO
00.202-2,11/10/1888,Cartório Foz do São Francisco,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,13/03/2025,AL,PIACABUCU,cartorioregistropbu@gmail.com,2025-03-11,JULIANA MARIA HOLANDA DO OUTEIRO,-
00.203-0,24/09/1973,Cartório 1 Ofício de Notas e Registro Imóveis,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,MURICI,cartorio1oficiomurici@yahoo.com,2025-01-28,STEPHANIE JANE SMITH MELO,RICHARD WAGNER VIEIRA DE AGUIAR
00.204-8,05/11/1915,Cartório 1º Ofício,Privatizada,Notas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,CONVERSÃO EM DILIGÊNCIA,01/08/2025,AL,SANTANA DO IPANEMA,cartorioregimoveissdoipanema@gmail.com,2025-03-01,LUCIANO FERREIRA LISITA DORNELAS,-
00.205-5,19/08/1910,CARTORIO 2 OFICIO DE NOTAS - CORURIPE,Oficializada,Notas,Ativo,VAGO,14/07/2025,AL,CORURIPE,cartorio2denotascoruripe@hotmail.com,2025-07-14,MAIARA CRISTINA ROCHA DOS SANTOS,-
00.206-3,12/06/1864,Cartório 2º Ofício de Not. Reg. Tít. e Documentos,Privatizada,Notas / Protesto de Títulos / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,AL,SAO MIGUEL DOS CAMPOS,cartorio@afraniojatoba.com,1968-05-20,AFRâNIO DE ANDRADE JATOBá,MARIA DO CARMO DA SILVA SANTOS OLIVEIRA
00.207-1,05/02/1866,Cartório de Imóveis Hipoteca Tit. Doc. e Notas,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,31/01/2025,AL,PASSO DE CAMARAGIBE,cartoriodopassodecamaragibe@gmail.com,2025-01-28,MAYARA VIEIRA DA SILVA,-
